country_code_iso2,region,locode,port_name,latitude,longitude,facade,fao_areas,is_active
NL,,NLEME,Emmer-Erfscheidenveen,52.81666667,6.983333333,,{27.4.c},False
NO,,NOSNE,Søgne,58.08333333,7.816666667,,{27.3.a.20},False
DK,,DKRQD,Rødvig,55.256,12.372,,"{27.3.d.24,27.3.b.23,27.3.b, c}",False
NO,,NONYE,Nyelv,70.08333333,28.86666667,,{27.1.b},False
BR,,BRKLP,Campo Largo Do Piauí,-3.8,-42.6166666666667,,{41.1.1},False
DK,,DKODO,Oddesund Nord,56.5824,8.5421,,{27.4.b},False
EE,,EEPED,Pedase,59.27555556,23.90055556,,{27.3.d.32},False
NO,,NOGRE,Greåker,59.26666667,11.03333333,,{27.3.a.20},False
DE,,DESLE,Spelle,52.36666667,7.466666667,,{27.4.c},False
GB,,GBCNM,"Central Mainland, Shetland",60.31666667,-1.266666667,,{27.4.a},False
VE,,VETMO,Tumeremo,7.2996226,-61.5077645,,{31},False
CN,,CNLGY,Longyan Pt,37.43333333,122.6333333,,{61},False
GB,,GBBLG,Ballygown,56.5,-6.166666667,,{27.6.a},False
DE,,DESRI,Schweringen,52.75,9.183333333,,{27.4.b},False
GB,,GBFBU,Fishbourne,50.73333333,-1.166666667,,{27.7.d},False
SE,,SERYB,Ryssbält,65.755633,23.0364,,{27.3.d.31},False
SE,,SERUO,Runnö,57.164167,16.528667,,{27.3.d.27},False
NO,,NOOYS,Øystese,60.38333333,6.2,,{27.4.a},False
AU,,AUFRE,Fremantle,-32.056,115.707,,{57.5.2},False
BD,,BDPAY,Payra Port,21.93333333,90.26666667,,{57.1},False
SE,,SEBSV,Barsviken,62.49545,17.811417,,{27.3.d.30},False
BR,,BRBLL,Balneário Barra Do Sul,-26.45,-48.6,,{41.2.1},False
DE,,DEREC,Recklinghausen,51.61666667,7.2,,{27.4.c},False
BR,,BRAGM,Água Doce Do Maranhão,-2.83333333333333,-42.1,,{41.1.1},False
BR,,BRLRS,Linhares,-19.4,-40.06666667,,{41.1.3},False
BR,,BRKGS,Carlos Gomes,-27.7,-51.9166666666667,,{41.2.1},False
BR,,BRBBS,Bombinhas,-27.1333333333333,-48.5166666666667,,{41.2.1},False
SJ,,SJNYA,Ny-Ålesund,78.93333333,11.95,,{27.2.b.2},False
GR,,GRPKF,Porto Koyfo,39.944,23.924,,{37.3.1},False
EE,,EELDO,Loode Oja Lauter,57.95277778,24.39194444,,{27.3.d.28.1},False
MT,,MTMRF,Marfa,35.989,14.333,,{37.2.2},False
BR,,BRSLI,Sant'Ana Do Livramento,-30.8833333333333,-55.5333333333333,,{41.2.3},False
JP,,JPKHT,"Takahata, Yamagata",38.0,140.1833333,,{61},False
BR,,BRMTX,Mataraca,-6.6,-35.0333333333333,,{41.1.2},False
EE,,EEVSK,Vasknarva Reisisadam,59.01,27.73583333,,{27.3.d.32},False
DK,,DKAUN,Aunø,55.0025,11.9571,,"{27.3.c.22,27.3.b, c,27.3.d.24}",False
IE,,IEMVB,Mevagh Boatyard,55.198123,-7.813747,,{27.6.a},False
EE,,EEPRL,Paralepa,58.94222222,23.51722222,,"{27.3.d.29,27.3.d.32}",False
EE,,EETNE,Tammneeme,59.53666667,24.89305556,,{27.3.d.32},False
NL,,NLMKM,Wonseradeel/Makkum,53.05,5.38333333333333,,{27.4.c},False
JP,,JPTWD,Towada,40.6,141.2,,{61},False
NO,,NOIKR,Ikornnes,62.38333333,6.55,,{27.2.a.2},False
ZA,,ZADUR,Durban,-29.858,31.022,,{51.8},False
SE,,SEGUS,Gustavsvik,62.83333333,17.88333333,,{27.3.d.30},False
BR,,BRCYO,Ciríaco,-28.3333333333333,-51.8666666666667,,{41.2.1},False
SE,,SEALD,Almösund,58.063,11.704167,,{27.3.a.20},False
GB,,GBHMY,Hemsby,52.7,1.683333333,,{27.4.c},False
